Titre,Prix,Nombre de pieces,Type,Adresse,Secteur,Surface totale en m^2,Salons,Salles de bain,Etage,Age du bien,Superficie habitable,Frais de syndic / mois,Garage,Securite,Meuble,Climatisation,Chauffage,Parking,Concierge,Piscine,Jardin,Loti,Cuisine equipee,Terrasse,Ascenseur,Balcon
bureau spacieux au centre ville de kenitra,900000.0,5.0,Bureaux et Plateaux, Angle rue Maamora et rue Mohammed abdou. Kenitra,Maamora,134 ,,,1.0,,,0,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non
شقة ممتازة 85متر بحي الهدي أيت ملول,500000.0,2.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
jolie appartement résidence fermée nassim,1200000.0,3.0,Appartements,,Sidi Maarouf,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 131 m2 Mimosas,880000.0,3.0,Appartements,,Mimosas,131 , 1,2,6.0,6-10 ans,119 ,150,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui
Appartements de 75 m2 a 6 minute plage,480000.0,2.0,Appartements, Saidia centre ville ,Toute la ville,75 , 1,2,,,,0,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
magasins et boutiques à Bir Rami,180000.0,1.0,Magasins,,Bir Rami,18 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartements à vendre proche de la plage,380000.0,,Appartements, Saidia,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
bel appartement 60 m2 a coté de la plage,380000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magasins à Khabazat,210000.0,1.0,Magasins,,Khabazat,33 ,,1,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
apt neuf a wifak,1600000.0,3.0,Appartements, Wifak temara,Wifak,120 , 1,2,2.0,1-5 ans,120 ,0,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui
شقق ممتازة,250000.0,2.0,Appartements,,Autre secteur,58 , 1,1,,Neuf/Premiere main,,0,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui
Appartement à Sala Al-Jadida,700000.0,,Appartements, imm 61 Ndeg 3 Doha Khayr Sala Al Jadida,Toute la ville,70 , 1,1,0.0,,,50,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non
bel appartement 2 façade avec bon prix,490000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Jolie appartement à Mostakbal investissement,360000.0,2.0,Appartements,,Sidi Maarouf,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
grand magasin à résidence rayhane,900000.0,1.0,Magasins, el haddada kenitra ,El Haddada,120 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
بقع أرضية جاهزة سكنية و تجارية بأيت ملول,320000.0,,Terrains et Fermes,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
بقعة قرب سوق الجوطية,382000.0,,Terrains et Fermes, qrb swq ljwTy@,Autre secteur,132 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement RIYAD ESSALAM de 56 m2 BOUZNIKA CENTRE,250000.0,2.0,Appartements,,Autre secteur,58 , 1,1,1.0,Neuf/Premiere main,54 ,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui
Appartement Neuf de 68m2 à Sidi Maarouf,840000.0,3.0,Appartements,,Sidi Maarouf,102 , 1,2,3.0,Neuf/Premiere main,68 ,200,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
terrain commercial,1800000.0,,Terrains et Fermes, 853 al massar,Massar,271 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magnifique villa à Californie mosquée taha,9000000.0,6.0,Maisons et Villas,,Californie,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement en Vente à Béni Mellal,400000.0,3.0,Appartements, bd laayoun quartier el houda,Toute la ville,98 , 1,1,1.0,Neuf/Premiere main,90 ,200,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Appartement à vendre résidence les champs 2,1550000.0,3.0,Appartements, Residence les champs2,Sidi Maarouf,126 , 1,2,3.0,6-10 ans,105 ,300,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui
Belle appartement à Mostakbal double façade,340000.0,3.0,Appartements,,Sidi Maarouf,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Lot de terrain pour villa a dar bouazza 214 m,1350000.0,,Terrains et Fermes, Dar bouazza ,Anfa,214 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
joli appartement 87 m2 avec bon prix a saidia,530000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
appart 84m2 face makro ain sebaa,640000.0,4.0,Appartements,,Ain Sebaa,84 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
magnifique appartement 65 m2 avec bon prix,470000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement haut standing 134m2 oued fés,800000.0,3.0,Appartements, Hay al hadiqa,Oued Fes,134 , 1,2,3.0,Neuf/Premiere main,134 ,0,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
Terrain de villa sur route Tiznit Plage facilités,200000.0,,Terrains et Fermes, sur route principale Tiznit Plage Aglou,Toute la ville,200 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
بقع أرضية جاهزة 80متر بأيت ملول,440000.0,,Terrains et Fermes,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartements neuf au centre saidia,360000.0,3.0,Appartements, Saidia centre ville ,Toute la ville,, 1,2 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Apparrtement neuf 88 m²,1350000.0,2.0,Appartements, 11 rue caid ahmed,2 Mars,88 , 1,2,2.0,Neuf/Premiere main,85 ,300,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui
Magnifique villa à pristijia de Bouskoura,5000000.0,6.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
bel appartement 65 m2 avec 2 façade,500000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Commerces à Nouaceur à partir de 40m2,292000.0,,Magasins, Route de Berrechid,Lissasfa,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Maison à la région Sidi Rehal avec bon prix,350000.0,3.0,Maisons et Villas,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 65 m2 Toute la ville,380000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Maison à Hay El bassatine,850000.0,4.0,Maisons et Villas, serceur A rue 28 ,El Bassatine,108 , 2,2,,,108 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Terrain de 3377 m2 à la région de Bir Jdid,600000.0,,Terrains et Fermes,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement neuf 150 m²,2380000.0,3.0,Appartements, 11 rue caid ahmed,2 Mars,150 , 2,2,4.0,Neuf/Premiere main,150 ,300,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui
